id;category_id;category_name;retailer_id;created_date;parent_id
1;21798;supply-chains;80199;2023-08-16T10:35:20;96124
2;18566;ivory Refined metrics;41701;2023-08-16T01:27:06;2720
3;12926;Internal XML Chips;55997;2023-08-16T08:18:21;76615
4;69811;Electronics;84420;2023-08-16T12:26:14;59168
5;55021;Regional;41594;2023-08-16T02:55:52;19780
6;329;Djibouti;92796;2023-08-16T15:16:44;94420
7;37510;fresh-thinking Dominica;33890;2023-08-16T02:24:23;15061
8;69174;Overpass;58088;2023-08-16T00:51:49;3597
9;12226;Investment visionary Cheese;30057;2023-08-16T14:10:21;35498
10;92416;Versatile bypass California;52826;2023-08-15T19:08:03;92065
