id;code;name;retailer_id;category_name;allows_sale;description;has_variants;is_active
1;Steel;Assistant;57374;monetize Consultant wireless;false;reboot;true;true
2;Pound;actuating deposit;44573;Steel;true;applications Metical;false;false
3;Lào transmitting Niger;green Malagasy;32770;Drive Australian;false;Wooden;true;true
4;orange Practical;Identity Dynamic Sports;86396;Personal Steel;false;intangible Prairie;false;true
5;Chips De-engineered Tunnel;Intelligent;88292;Checking Account Renminbi;false;multi-byte Underpass project;true;false
6;efficient;mobile metrics;95618;Data;true;grey solution;true;true
7;Checking system-worthy;Steel;12655;relationships;true;Automotive;true;true
8;Associate Chicken;Usability multi-byte;34414;Account;true;México Executive Down-sized;false;false
9;wireless Practical Solutions;International Square;59473;Vista;true;Product;true;true
10;system Practical;executive;79010;bypassing Gateway Virtual;true;convergence moratorium Stand-alone;false;true
